"id","comment","type","direction","from_account_id","from_civ_name","from_account_name","to_account_id","to_civ_name","to_account_name","amount","date","tax_percentage","tax_type","tax_id"
"c6f69980-1330-499a-ae44-f1e93ea8a01a","Business Charge: [2x] Customer [1x] Self Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Mary Domino-Mushkin","Kintsugi Motorworks","5400","Mon Oct 27 2025 03:13:00 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"c6f69980-1330-499a-ae44-f1e93ea8a01a","Business Charge: [2x] Customer [1x] Self Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Joaquin Jimenes","Kintsugi Motorworks","5400","Mon Oct 27 2025 03:13:00 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"c6f69980-1330-499a-ae44-f1e93ea8a01a","Business Charge: [2x] Customer [1x] Self Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Melissa Murmurs","Kintsugi Motorworks","5400","Mon Oct 27 2025 03:13:00 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"c6f69980-1330-499a-ae44-f1e93ea8a01a","Business Charge: [2x] Customer [1x] Self Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Kassandra Kage","Kintsugi Motorworks","5400","Mon Oct 27 2025 03:13:00 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"c6f69980-1330-499a-ae44-f1e93ea8a01a","Business Charge: [2x] Customer [1x] Self Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Lloyd Grotti","Kintsugi Motorworks","5400","Mon Oct 27 2025 03:13:00 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"9ae1a3d4-0ea3-4a61-a456-859f726283c4","Business Charge: 1x Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Mary Domino-Mushkin","Kintsugi Motorworks","1800","Mon Oct 27 2025 04:24:02 GMT+0000 (Coordinated Universal Time)","20","No Tax","1"
"9ae1a3d4-0ea3-4a61-a456-859f726283c4","Business Charge: 1x Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Joaquin Jimenes","Kintsugi Motorworks","1800","Mon Oct 27 2025 04:24:02 GMT+0000 (Coordinated Universal Time)","20","No Tax","1"
"9ae1a3d4-0ea3-4a61-a456-859f726283c4","Business Charge: 1x Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Melissa Murmurs","Kintsugi Motorworks","1800","Mon Oct 27 2025 04:24:02 GMT+0000 (Coordinated Universal Time)","20","No Tax","1"
"9ae1a3d4-0ea3-4a61-a456-859f726283c4","Business Charge: 1x Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Kassandra Kage","Kintsugi Motorworks","1800","Mon Oct 27 2025 04:24:02 GMT+0000 (Coordinated Universal Time)","20","No Tax","1"
"9ae1a3d4-0ea3-4a61-a456-859f726283c4","Business Charge: 1x Repair (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Lloyd Grotti","Kintsugi Motorworks","1800","Mon Oct 27 2025 04:24:02 GMT+0000 (Coordinated Universal Time)","20","No Tax","1"
"53ffda87-5c02-44c4-a9a5-291f7c62a8f2","Business Charge: 1 across - JR (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Mary Domino-Mushkin","Kintsugi Motorworks","1800","Wed Oct 29 2025 16:02:27 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"53ffda87-5c02-44c4-a9a5-291f7c62a8f2","Business Charge: 1 across - JR (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Joaquin Jimenes","Kintsugi Motorworks","1800","Wed Oct 29 2025 16:02:27 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"53ffda87-5c02-44c4-a9a5-291f7c62a8f2","Business Charge: 1 across - JR (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Melissa Murmurs","Kintsugi Motorworks","1800","Wed Oct 29 2025 16:02:27 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"53ffda87-5c02-44c4-a9a5-291f7c62a8f2","Business Charge: 1 across - JR (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Kassandra Kage","Kintsugi Motorworks","1800","Wed Oct 29 2025 16:02:27 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"53ffda87-5c02-44c4-a9a5-291f7c62a8f2","Business Charge: 1 across - JR (Jay Runner - 14350)","purchase","in","61139120","Jay Runner","Personal Account","64952453","Lloyd Grotti","Kintsugi Motorworks","1800","Wed Oct 29 2025 16:02:27 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"b666640e-9337-4dab-b8e0-78fb7050f012","Business Charge: 2 across (Lloyd Grotti - 18725)","purchase","in","61718607","Lloyd Grotti","Personal Account","64952453","Mary Domino-Mushkin","Kintsugi Motorworks","3000","Wed Oct 29 2025 23:24:02 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"b666640e-9337-4dab-b8e0-78fb7050f012","Business Charge: 2 across (Lloyd Grotti - 18725)","purchase","in","61718607","Lloyd Grotti","Personal Account","64952453","Joaquin Jimenes","Kintsugi Motorworks","3000","Wed Oct 29 2025 23:24:02 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"b666640e-9337-4dab-b8e0-78fb7050f012","Business Charge: 2 across (Lloyd Grotti - 18725)","purchase","in","61718607","Lloyd Grotti","Personal Account","64952453","Melissa Murmurs","Kintsugi Motorworks","3000","Wed Oct 29 2025 23:24:02 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"b666640e-9337-4dab-b8e0-78fb7050f012","Business Charge: 2 across (Lloyd Grotti - 18725)","purchase","in","61718607","Lloyd Grotti","Personal Account","64952453","Kassandra Kage","Kintsugi Motorworks","3000","Wed Oct 29 2025 23:24:02 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"b666640e-9337-4dab-b8e0-78fb7050f012","Business Charge: 2 across (Lloyd Grotti - 18725)","purchase","in","61718607","Lloyd Grotti","Personal Account","64952453","Lloyd Grotti","Kintsugi Motorworks","3000","Wed Oct 29 2025 23:24:02 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"e566acbc-569a-45cf-8ca6-6a68e221a027","Business Charge: Bank info (Joaquin Jimenes - 1094)","purchase","in","61243998","Joaquin Jimenes","Personal Account","64952453","Mary Domino-Mushkin","Kintsugi Motorworks","1","Fri Oct 31 2025 12:41:47 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"e566acbc-569a-45cf-8ca6-6a68e221a027","Business Charge: Bank info (Joaquin Jimenes - 1094)","purchase","in","61243998","Joaquin Jimenes","Personal Account","64952453","Joaquin Jimenes","Kintsugi Motorworks","1","Fri Oct 31 2025 12:41:47 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
"e566acbc-569a-45cf-8ca6-6a68e221a027","Business Charge: Bank info (Joaquin Jimenes - 1094)","purchase","in","61243998","Joaquin Jimenes","Personal Account","64952453","Melissa Murmurs","Kintsugi Motorworks","1","Fri Oct 31 2025 12:41:47 GMT+0000 (Coordinated Universal Time)","12","No Tax","1"
